description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,1233687,155,gene22,5653,9300
odda,0,1233687,202,gene2,7304,12120
odda,0,1233687,254,gene115,8628,15240
odda,0,1233687,271,gene126,9356,16260
odda,0,1233687,284,gene114,9743,17040
odda,0,1233687,291,gene24,10036,17460
odda,0,1233687,333,gene19,11440,19980
odda,0,1233687,368,gene27,12248,22080
odda,0,1233687,386,gene195,12628,23160
odda,0,1233687,422,gene35,13852,25320
odda,0,1233687,440,gene142,13700,26400
odda,0,1233687,458,gene145,13920,27480
odda,0,1233687,465,gene162,14288,27900
odda,0,1233687,477,gene194,15052,28620
odda,0,1233687,491,gene133,14956,29460
odda,0,1233687,537,gene95,16864,32220
odda,0,1233687,559,gene165,16840,33540
odda,0,1233687,588,gene70,18320,35280
odda,0,1233687,603,gene42,19244,36180
odda,0,1233687,627,gene184,18516,37620
odda,0,1233687,643,gene57,20016,38580
odda,0,1233687,653,gene140,19444,39180
odda,0,1233687,680,gene180,19780,40800
odda,0,1233687,693,gene12,21700,41580
odda,0,1233687,713,gene182,20700,42780
odda,0,1233687,727,gene52,22912,43620
odda,0,1233687,741,gene44,23084,44460
odda,0,1233687,756,gene156,21580,45360
odda,0,1233687,766,gene153,22152,45960
odda,0,1233687,791,gene103,23908,47460
odda,0,1233687,802,gene120,23692,48120
odda,0,1233687,812,gene69,24224,48720
odda,0,1233687,828,gene128,23704,49680
odda,0,1233687,859,gene172,24876,51540
odda,0,1233687,884,gene65,26100,53040
odda,0,1233687,898,gene106,26456,53880
odda,0,1233687,946,gene85,27620,56760
odda,0,1233687,978,gene96,28368,58680
odda,0,1233687,1020,gene90,29688,61200
odda,0,1233687,1033,gene146,28716,61980
odda,0,1233687,1095,gene93,31656,65700
odda,0,1233687,1157,gene72,32712,69420
odda,0,1233687,1194,gene155,33428,71640
odda,0,1233687,1219,gene139,32928,73140
odda,0,1233687,1323,gene122,37412,79380
odda,0,1233687,1477,gene66,41288,88620
odda,0,1233687,1664,gene78,45856,99840
odda,0,1233687,2025,gene79,54728,121500
odda,0,1233687,2184,gene77,57640,131040
odda,0,1233687,2743,gene30,73744,164580
odda,0,1233687,1970,gene186,55804,118200
odda,1,1233687,176,gene167,6087,10560
odda,1,1233687,234,gene47,8368,14040
odda,1,1233687,263,gene198,9032,15780
odda,1,1233687,279,gene75,9472,16740
odda,1,1233687,285,gene101,9700,17100
odda,1,1233687,292,gene127,9751,17520
odda,1,1233687,334,gene193,11208,20040
odda,1,1233687,370,gene136,11644,22200
odda,1,1233687,396,gene176,12251,23760
odda,1,1233687,428,gene183,13352,25680
odda,1,1233687,442,gene161,13690,26520
odda,1,1233687,461,gene46,15004,27660
odda,1,1233687,469,gene137,14660,28140
odda,1,1233687,477,gene10,15660,28620
odda,1,1233687,491,gene50,16160,29460
odda,1,1233687,547,gene61,17048,32820
odda,1,1233687,560,gene119,17216,33600
odda,1,1233687,590,gene178,17468,35400
odda,1,1233687,611,gene197,18512,36660
odda,1,1233687,628,gene32,20100,37680
odda,1,1233687,645,gene71,19616,38700
odda,1,1233687,659,gene166,19576,39540
odda,1,1233687,683,gene67,20532,40980
odda,1,1233687,700,gene26,22292,42000
odda,1,1233687,717,gene87,21476,43020
odda,1,1233687,729,gene123,21672,43740
odda,1,1233687,746,gene138,21900,44760
odda,1,1233687,756,gene54,23548,45360
odda,1,1233687,771,gene152,22104,46260
odda,1,1233687,792,gene151,22908,47520
odda,1,1233687,803,gene169,23472,48180
odda,1,1233687,818,gene15,25296,49080
odda,1,1233687,845,gene84,24920,50700
odda,1,1233687,860,gene92,25820,51600
odda,1,1233687,891,gene170,25280,53460
odda,1,1233687,927,gene148,26044,55620
odda,1,1233687,949,gene105,27496,56940
odda,1,1233687,992,gene100,29184,59520
odda,1,1233687,1022,gene191,29516,61320
odda,1,1233687,1055,gene129,29868,63300
odda,1,1233687,1105,gene14,33040,66300
odda,1,1233687,1170,gene45,34964,70200
odda,1,1233687,1198,gene160,33172,71880
odda,1,1233687,1220,gene171,33868,73200
odda,1,1233687,1342,gene13,39356,80520
odda,1,1233687,1481,gene108,41516,88860
odda,1,1233687,1769,gene131,46708,106140
odda,1,1233687,2128,gene80,57288,127680
odda,1,1233687,2343,gene56,63808,140580
odda,1,1233687,2950,gene185,73276,177000
odda,1,1233687,1086,gene186,34416,65160
odda,2,1233687,178,gene111,6369,10680
odda,2,1233687,246,gene76,8624,14760
odda,2,1233687,264,gene104,9032,15840
odda,2,1233687,280,gene157,9148,16800
odda,2,1233687,289,gene23,9956,17340
odda,2,1233687,317,gene179,10204,19020
odda,2,1233687,339,gene181,11050,20340
odda,2,1233687,377,gene130,12156,22620
odda,2,1233687,417,gene97,13596,25020
odda,2,1233687,439,gene150,13658,26340
odda,2,1233687,447,gene1,15040,26820
odda,2,1233687,463,gene41,15168,27780
odda,2,1233687,472,gene43,15404,28320
odda,2,1233687,482,gene53,15604,28920
odda,2,1233687,504,gene113,15996,30240
odda,2,1233687,555,gene40,17648,33300
odda,2,1233687,564,gene31,18072,33840
odda,2,1233687,593,gene98,18244,35580
odda,2,1233687,619,gene174,18328,37140
odda,2,1233687,631,gene141,18732,37860
odda,2,1233687,648,gene116,20140,38880
odda,2,1233687,660,gene107,19976,39600
odda,2,1233687,688,gene9,21512,41280
odda,2,1233687,702,gene86,21500,42120
odda,2,1233687,720,gene175,21056,43200
odda,2,1233687,734,gene29,22560,44040
odda,2,1233687,747,gene17,23268,44820
odda,2,1233687,762,gene55,23508,45720
odda,2,1233687,777,gene158,22708,46620
odda,2,1233687,793,gene82,23572,47580
odda,2,1233687,806,gene94,23996,48360
odda,2,1233687,823,gene117,24340,49380
odda,2,1233687,846,gene18,25704,50760
odda,2,1233687,870,gene134,24916,52200
odda,2,1233687,892,gene51,27216,53520
odda,2,1233687,936,gene33,28560,56160
odda,2,1233687,950,gene25,28728,57000
odda,2,1233687,995,gene59,30236,59700
odda,2,1233687,1023,gene34,30972,61380
odda,2,1233687,1066,gene188,30556,63960
odda,2,1233687,1128,gene21,33856,67680
odda,2,1233687,1185,gene168,32488,71100
odda,2,1233687,1205,gene143,32804,72300
odda,2,1233687,1230,gene39,36188,73800
odda,2,1233687,1397,gene200,37556,83820
odda,2,1233687,1503,gene192,41600,90180
odda,2,1233687,1806,gene199,47728,108360
odda,2,1233687,2131,gene124,57232,127860
odda,2,1233687,2443,gene88,64252,146580
odda,2,1233687,3393,gene187,86348,203580
odda,2,1233687,149,gene186,143680,363000
odda,3,1233687,194,gene91,6880,11640
odda,3,1233687,249,gene37,8924,14940
odda,3,1233687,269,gene36,9403,16140
odda,3,1233687,284,gene163,9640,17040
odda,3,1233687,291,gene89,10104,17460
odda,3,1233687,327,gene3,10986,19620
odda,3,1233687,354,gene189,11735,21240
odda,3,1233687,383,gene7,12664,22980
odda,3,1233687,421,gene20,13860,25260
odda,3,1233687,440,gene102,14144,26400
odda,3,1233687,456,gene28,14732,27360
odda,3,1233687,464,gene4,15304,27840
odda,3,1233687,473,gene49,15840,28380
odda,3,1233687,484,gene48,15800,29040
odda,3,1233687,527,gene16,16888,31620
odda,3,1233687,558,gene58,17832,33480
odda,3,1233687,574,gene112,18060,34440
odda,3,1233687,601,gene132,17860,36060
odda,3,1233687,625,gene164,18452,37500
odda,3,1233687,639,gene110,19864,38340
odda,3,1233687,650,gene62,19892,39000
odda,3,1233687,661,gene81,20184,39660
odda,3,1233687,690,gene11,21440,41400
odda,3,1233687,703,gene125,20828,42180
odda,3,1233687,725,gene5,22520,43500
odda,3,1233687,736,gene64,22156,44160
odda,3,1233687,753,gene60,22808,45180
odda,3,1233687,763,gene121,22712,45780
odda,3,1233687,781,gene149,22388,46860
odda,3,1233687,802,gene63,24360,48120
odda,3,1233687,808,gene173,23124,48480
odda,3,1233687,827,gene196,24604,49620
odda,3,1233687,858,gene118,25612,51480
odda,3,1233687,871,gene83,25760,52260
odda,3,1233687,895,gene135,25592,53700
odda,3,1233687,941,gene73,27436,56460
odda,3,1233687,958,gene177,27036,57480
odda,3,1233687,1003,gene154,28708,60180
odda,3,1233687,1030,gene159,29044,61800
odda,3,1233687,1067,gene38,31836,64020
odda,3,1233687,1146,gene99,32924,68760
odda,3,1233687,1185,gene147,32660,71100
odda,3,1233687,1215,gene68,34664,72900
odda,3,1233687,1299,gene8,38212,77940
odda,3,1233687,1463,gene144,39192,87780
odda,3,1233687,1629,gene190,44912,97740
odda,3,1233687,1843,gene6,51568,110580
odda,3,1233687,2142,gene109,57212,128520
odda,3,1233687,2583,gene74,67008,154980
odda,3,1233687,2845,gene186,71548,170700
cut,0,1233687,194,gene91,6880,11640
cut,0,1233687,254,gene115,8628,15240
cut,0,1233687,280,gene157,9148,16800
cut,0,1233687,284,gene163,9640,17040
cut,0,1233687,289,gene23,9956,17340
cut,0,1233687,327,gene3,10986,19620
cut,0,1233687,370,gene136,11644,22200
cut,0,1233687,396,gene176,12251,23760
cut,0,1233687,417,gene97,13596,25020
cut,0,1233687,422,gene35,13852,25320
cut,0,1233687,465,gene162,14288,27900
cut,0,1233687,461,gene46,15004,27660
cut,0,1233687,464,gene4,15304,27840
cut,0,1233687,484,gene48,15800,29040
cut,0,1233687,559,gene165,16840,33540
cut,0,1233687,560,gene119,17216,33600
cut,0,1233687,601,gene132,17860,36060
cut,0,1233687,588,gene70,18320,35280
cut,0,1233687,627,gene184,18516,37620
cut,0,1233687,659,gene166,19576,39540
cut,0,1233687,650,gene62,19892,39000
cut,0,1233687,648,gene116,20140,38880
cut,0,1233687,703,gene125,20828,42180
cut,0,1233687,702,gene86,21500,42120
cut,0,1233687,693,gene12,21700,41580
cut,0,1233687,736,gene64,22156,44160
cut,0,1233687,734,gene29,22560,44040
cut,0,1233687,792,gene151,22908,47520
cut,0,1233687,747,gene17,23268,44820
cut,0,1233687,793,gene82,23572,47580
cut,0,1233687,806,gene94,23996,48360
cut,0,1233687,827,gene196,24604,49620
cut,0,1233687,891,gene170,25280,53460
cut,0,1233687,846,gene18,25704,50760
cut,0,1233687,884,gene65,26100,53040
cut,0,1233687,941,gene73,27436,56460
cut,0,1233687,936,gene33,28560,56160
cut,0,1233687,1030,gene159,29044,61800
cut,0,1233687,1055,gene129,29868,63300
cut,0,1233687,1095,gene93,31656,65700
cut,0,1233687,1157,gene72,32712,69420
cut,0,1233687,1105,gene14,33040,66300
cut,0,1233687,1220,gene171,33868,73200
cut,0,1233687,1323,gene122,37412,79380
cut,0,1233687,1342,gene13,39356,80520
cut,0,1233687,1629,gene190,44912,97740
cut,0,1233687,1843,gene6,51568,110580
cut,0,1233687,2128,gene80,57288,127680
cut,0,1233687,2583,gene74,67008,154980
cut,0,1233687,2791,gene186,70456,167460
cut,1,1233687,155,gene22,5653,9300
cut,1,1233687,202,gene2,7304,12120
cut,1,1233687,249,gene37,8924,14940
cut,1,1233687,271,gene126,9356,16260
cut,1,1233687,285,gene101,9700,17100
cut,1,1233687,291,gene24,10036,17460
cut,1,1233687,339,gene181,11050,20340
cut,1,1233687,354,gene189,11735,21240
cut,1,1233687,386,gene195,12628,23160
cut,1,1233687,439,gene150,13658,26340
cut,1,1233687,421,gene20,13860,25260
cut,1,1233687,469,gene137,14660,28140
cut,1,1233687,447,gene1,15040,26820
cut,1,1233687,472,gene43,15404,28320
cut,1,1233687,473,gene49,15840,28380
cut,1,1233687,537,gene95,16864,32220
cut,1,1233687,590,gene178,17468,35400
cut,1,1233687,574,gene112,18060,34440
cut,1,1233687,619,gene174,18328,37140
cut,1,1233687,631,gene141,18732,37860
cut,1,1233687,645,gene71,19616,38700
cut,1,1233687,660,gene107,19976,39600
cut,1,1233687,661,gene81,20184,39660
cut,1,1233687,720,gene175,21056,43200
cut,1,1233687,688,gene9,21512,41280
cut,1,1233687,746,gene138,21900,44760
cut,1,1233687,700,gene26,22292,42000
cut,1,1233687,777,gene158,22708,46620
cut,1,1233687,727,gene52,22912,43620
cut,1,1233687,803,gene169,23472,48180
cut,1,1233687,802,gene120,23692,48120
cut,1,1233687,812,gene69,24224,48720
cut,1,1233687,859,gene172,24876,51540
cut,1,1233687,818,gene15,25296,49080
cut,1,1233687,871,gene83,25760,52260
cut,1,1233687,898,gene106,26456,53880
cut,1,1233687,949,gene105,27496,56940
cut,1,1233687,1003,gene154,28708,60180
cut,1,1233687,992,gene100,29184,59520
cut,1,1233687,995,gene59,30236,59700
cut,1,1233687,1067,gene38,31836,64020
cut,1,1233687,1205,gene143,32804,72300
cut,1,1233687,1198,gene160,33172,71880
cut,1,1233687,1215,gene68,34664,72900
cut,1,1233687,1397,gene200,37556,83820
cut,1,1233687,1477,gene66,41288,88620
cut,1,1233687,1664,gene78,45856,99840
cut,1,1233687,2025,gene79,54728,121500
cut,1,1233687,2184,gene77,57640,131040
cut,1,1233687,2950,gene185,73276,177000
cut,1,1233687,1874,gene186,53340,112440
cut,2,1233687,176,gene167,6087,10560
cut,2,1233687,234,gene47,8368,14040
cut,2,1233687,264,gene104,9032,15840
cut,2,1233687,269,gene36,9403,16140
cut,2,1233687,284,gene114,9743,17040
cut,2,1233687,291,gene89,10104,17460
cut,2,1233687,334,gene193,11208,20040
cut,2,1233687,377,gene130,12156,22620
cut,2,1233687,383,gene7,12664,22980
cut,2,1233687,442,gene161,13690,26520
cut,2,1233687,458,gene145,13920,27480
cut,2,1233687,456,gene28,14732,27360
cut,2,1233687,477,gene194,15052,28620
cut,2,1233687,482,gene53,15604,28920
cut,2,1233687,504,gene113,15996,30240
cut,2,1233687,527,gene16,16888,31620
cut,2,1233687,555,gene40,17648,33300
cut,2,1233687,564,gene31,18072,33840
cut,2,1233687,625,gene164,18452,37500
cut,2,1233687,603,gene42,19244,36180
cut,2,1233687,680,gene180,19780,40800
cut,2,1233687,643,gene57,20016,38580
cut,2,1233687,683,gene67,20532,40980
cut,2,1233687,690,gene11,21440,41400
cut,2,1233687,756,gene156,21580,45360
